Indicator,Both Sexes,Both Percent,Male,Male Percent,Female,Female Percent
Health is perceived to be somewhat better or much better than 1 year ago 12,"76,300",13.6,"37,100",14.1,"39,200",13.2
Health is perceived to be somewhat worse or much worse than 1 year ago 12,"103,800",18.5,"42,600",16.1,"61,200",21
Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13,"219,500",42,"106,200",43,"113,300",41
Had the pneumococcal vaccine 14,"282,100",53,"120,800",48,"161,300",57
Had the shingles vaccine 15,"181,400",33,"80,400",31,"101,000",35
Influenza immunization in the past 12 months 16 17,"335,800",64,"159,100",64,"176,700",65
Used the Internet in the past 12 months 18,"433,000",77,"206,100",78,"226,900",76
Has trouble sleeping or staying asleep a little of the time or none of the time 19,"279,300",54,"151,700",61,"127,700",47
Has trouble sleeping or staying asleep most of the time or all of the time 19,"100,200",19.3,"35,000",14.2,"65,200",24
Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20,"516,700",94,"246,800",95.4,"269,900",92.7
Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20,"11,600E",2.1E,"4,600E",1.8E,"7,200E",2.4E
Health of mouth - very good or excellent 21,"337,500",60,"152,600",58,"184,900",62
Health of mouth - fair or poor 21,"41,900",7.5,"23,200",8.8,"18,700",6.3
Able to brush teeth without help 22,"553,600",98.7,"260,000",98.6,"293,600",98.8
Home has adaptations 23,"185,900",33,"72,400",28,"113,500",38
Had a fall in the past 12 months 24,"109,700",19.6,"45,700",17.3,"64,000",22
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","107,500",19.2,"32,100",12.2,"75,400",25
Received community support services in the past 12 months 26,"49,000",8.8,"17,300",6.6,"31,700",10.7
Felt a lack of companionship - often 27,"34,200",6.6,"13,500E",5.5E,"20,700",7.6
Felt left out - often 28,"19,600",3.8,"7,200E",2.9E,"12,400E",4.6E
Felt isolated from others - often 29,"15,800E",3.1E,"5,500E",2.3E,"10,300E",3.8E
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","107,800",21,"45,800",18.6,"62,000",23
Has valid driver's license 31,"478,600",85.2,"240,600",91.2,"238,000",80
