Indicator,Both Sexes,Both Percent,Male,Male Percent,Female,Female Percent
Health is perceived to be somewhat better or much better than 1 year ago 12,"4,400",14.8,"1,500",10.9,"2,800",18.2
Health is perceived to be somewhat worse or much worse than 1 year ago 12,"6,000",20,"3,000",22,"3,000",19.2
Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13,"11,200",42,"5,000",43,"6,200",41
Had the pneumococcal vaccine 14,"10,500",38,"4,200",33,"6,300",42
Had the shingles vaccine 15,"7,900",27,"3,300",25,"4,600",29
Influenza immunization in the past 12 months 16 17,"17,900",67,"7,200",61,"10,700",71
Used the Internet in the past 12 months 18,"21,000",71,"9,600",70,"11,400",72
Has trouble sleeping or staying asleep a little of the time or none of the time 19,"14,500",54,"7,100",62,"7,400",49
Has trouble sleeping or staying asleep most of the time or all of the time 19,"5,100",19.1,"1,800",15,"3,300",22
Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20,"27,500",94.8,"12,700",94.5,"14,800",95.1
Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20,800E,2.5E,500E,3.6E,F,F
Health of mouth - very good or excellent 21,"18,600",63,"8,300",62,"10,300",65
Health of mouth - fair or poor 21,"2,500",8.6,"1,200",9.3,"1,300E",8.1E
Able to brush teeth without help 22,"29,100",98.8,"13,400",98,"15,700",99.4
Home has adaptations 23,"11,100",38,"4,500",33,"6,600",41
Had a fall in the past 12 months 24,"4,900",16.6,"2,500",17.8,"2,400",15.5
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","6,100",21,"2,400",18,"3,700",23
Received community support services in the past 12 months 26,"3,500",11.8,"1,500E",10.6E,"2,000",12.8
Felt a lack of companionship - often 27,"1,700",6.3,"1,000E",8.6E,700E,4.6E
Felt left out - often 28,800E,2.9E,500E,4.1E,300E,2.0E
Felt isolated from others - often 29,900E,3.3E,500E,4.7E,400E,2.3E
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","5,000",19,"1,900",16.9,"3,100",21
Has valid driver's license 31,"26,400",89.4,"13,000",94.7,"13,400",84.8
