Indicator,Both Sexes,Both Percent,Male,Male Percent,Female,Female Percent
Health is perceived to be somewhat better or much better than 1 year ago 12,"30,000",14.9,"13,000",13.9,"17,000",15.7
Health is perceived to be somewhat worse or much worse than 1 year ago 12,"37,700",18.7,"15,400",16.4,"22,300",21
Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13,"79,100",42,"35,900",42,"43,200",43
Had the pneumococcal vaccine 14,"104,000",54,"41,700",48,"62,300",60
Had the shingles vaccine 15,"58,300",29,"24,500",27,"33,800",32
Influenza immunization in the past 12 months 16 17,"113,600",61,"49,500",58,"64,100",64
Used the Internet in the past 12 months 18,"142,200",71,"67,200",72,"75,000",69
Has trouble sleeping or staying asleep a little of the time or none of the time 19,"113,300",61,"58,900",69,"54,400",54
Has trouble sleeping or staying asleep most of the time or all of the time 19,"33,100",17.8,"12,200",14.2,"20,900",21
Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20,"184,700",93.3,"87,000",94.1,"97,700",92.6
Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20,"5,900E",3.0E,"2,400E",2.6E,"3,500E",3.4E
Health of mouth - very good or excellent 21,"118,800",59,"52,700",56,"66,100",61
Health of mouth - fair or poor 21,"19,600",9.7,"10,300",11,"9,300",8.6
Able to brush teeth without help 22,"198,800",98.6,"91,800",98.3,"107,000",98.8
Home has adaptations 23,"73,900",37,"31,000",33,"42,900",40
Had a fall in the past 12 months 24,"33,100",16.5,"13,900",15,"19,200",17.9
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","40,600",20,"12,700",13.5,"27,900",26
Received community support services in the past 12 months 26,"20,700",10.2,"6,800",7.2,"13,900",12.8
Felt a lack of companionship - often 27,"9,700",5.3,"3,200E",3.8E,"6,500",6.6
Felt left out - often 28,"4,400E",2.4E,"1,300E",1.6E,"3,100E",3.1E
Felt isolated from others - often 29,"4,900E",2.7E,"1,500E",1.8E,"3,400E",3.4E
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","39,300",21,"15,900",18.7,"23,400",23
Has valid driver's license 31,"174,600",86.5,"86,200",92.2,"88,400",81.6
