Indicator,Both Sexes,Both Percent,Male,Male Percent,Female,Female Percent
Health is perceived to be somewhat better or much better than 1 year ago 12,"336,300",13.8,"154,800",13.8,"181,500",13.7
Health is perceived to be somewhat worse or much worse than 1 year ago 12,"491,400",20,"198,300",17.7,"293,100",22
Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13,"970,300",44,"474,700",47,"495,600",41
Had the pneumococcal vaccine 14,"1,131,100",50,"450,600",45,"680,500",54
Had the shingles vaccine 15,"1,115,100",47,"516,000",48,"599,100",47
Influenza immunization in the past 12 months 16 17,"1,493,500",67,"692,100",68,"801,600",66
Used the Internet in the past 12 months 18,"1,696,500",70,"823,000",74,"873,500",66
Has trouble sleeping or staying asleep a little of the time or none of the time 19,"1,331,000",60,"686,700",68,"644,300",54
Has trouble sleeping or staying asleep most of the time or all of the time 19,"348,900",15.8,"129,300",12.8,"219,600",18.3
Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20,"2,212,200",93.6,"1,027,600",93.7,"1,184,600",93.4
Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20,"76,700E",3.2E,"38,000E",3.5E,"38,700E",3.1E
Health of mouth - very good or excellent 21,"1,487,400",61,"661,100",59,"826,300",63
Health of mouth - fair or poor 21,"273,700",11.2,"113,100",10.1,"160,600",12.2
Able to brush teeth without help 22,"2,398,400",98.2,"1,085,200",96.9,"1,313,200",99.3
Home has adaptations 23,"788,200",32,"284,300",25,"503,900",38
Had a fall in the past 12 months 24,"437,100",17.9,"192,100",17.2,"245,000",18.6
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","440,800",18,"144,800",13,"296,000",22
Received community support services in the past 12 months 26,"260,900",10.7,"89,400",8,"171,500",13
Felt a lack of companionship - often 27,"141,300",6.4,"56,000E",5.6E,"85,300",7.2
Felt left out - often 28,"76,200",3.5,"35,200E",3.5E,"41,000E",3.4E
Felt isolated from others - often 29,"56,700",2.6,"15,100E",1.5E,"41,600E",3.5E
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","445,000",20,"163,000",16.1,"282,000",23
Has valid driver's license 31,"1,929,600",79,"987,700",88.2,"941,900",71
