Indicator,Both Sexes,Both Percent,Male,Male Percent,Female,Female Percent
Health is perceived to be somewhat better or much better than 1 year ago 12,"20,700",12.7,"9,200",12,"11,500",13.3
Health is perceived to be somewhat worse or much worse than 1 year ago 12,"26,700",16.3,"12,200",15.9,"14,500",16.7
Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13,"56,900",38.1,"26,900",39.7,"30,000",36.8
Had the pneumococcal vaccine 14,"61,300",38.9,"26,400",36.5,"34,800",40.9
Had the shingles vaccine 15,"40,800",25.2,"19,400",25.4,"21,400",24.9
Influenza immunization in the past 12 months 16 17,"94,300",63.2,"44,700",65.8,"49,600",61
Used the Internet in the past 12 months 18,"114,800",70.2,"52,600",68.6,"62,100",71.5
Has trouble sleeping or staying asleep a little of the time or none of the time 19,"88,700",59.6,"45,000",66.2,"43,600",53.9
Has trouble sleeping or staying asleep most of the time or all of the time 19,"22,500",15.1,"8,700",12.8,"13,700",17
Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20,"149,100",93.3,"69,200",92.7,"80,000",93.7
Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20,"5,500E",3.5E,"2,600E",3.5E,"2,900E",3.5E
Health of mouth - very good or excellent 21,"87,800",53.7,"40,400",52.6,"47,400",54.7
Health of mouth - fair or poor 21,"15,700",9.6,"7,900E",10.3E,"7,800E",9.0E
Able to brush teeth without help 22,"160,800",98.6,"74,700",97.5,"86,100",99.5
Home has adaptations 23,"60,300",36.9,"22,800",29.8,"37,500",43.2
Had a fall in the past 12 months 24,"26,900",16.5,"12,200",15.9,"14,800",17
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","25,600",15.7,"9,000",11.8,"16,600",19.1
Received community support services in the past 12 months 26,"14,500",8.8,"6,400E",8.3E,"8,100E",9.3E
Felt a lack of companionship - often 27,"7,400",5,"2,500E",3.7E,"4,900E",6.0E
Felt left out - often 28,"5,700E",3.8E,"1,600E",2.3E,"4,100E",5.0E
Felt isolated from others - often 29,"9,800E",6.5E,"3,200E",4.7E,"6,600E",8.1E
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","38,500",25.7,"15,600",23,"22,800",28
Has valid driver's license 31,"143,000",87.4,"70,500",92,"72,500",83.4
