Indicator,Both Sexes,Both Percent,Male,Male Percent,Female,Female Percent
Health is perceived to be somewhat better or much better than 1 year ago 12,"138,600",14.8,"72,700",16.5,"65,900",13.3
Health is perceived to be somewhat worse or much worse than 1 year ago 12,"162,400",17.4,"74,700",16.9,"87,700",17.7
Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13,"399,500",46.1,"187,000",47.2,"212,500",45.3
Had the pneumococcal vaccine 14,"482,100",53.1,"212,900",50.6,"269,100",55.3
Had the shingles vaccine 15,"328,300",35.5,"140,800",32.6,"187,500",38
Influenza immunization in the past 12 months 16 17,"590,500",67.9,"264,300",66.8,"326,200",68.9
Used the Internet in the past 12 months 18,"771,100",82.7,"362,800",82.3,"408,300",83
Has trouble sleeping or staying asleep a little of the time or none of the time 19,"484,600",56.4,"252,900",64.3,"231,700",49.7
Has trouble sleeping or staying asleep most of the time or all of the time 19,"139,100",16.2,"46,100",11.7,"93,000",19.9
Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20,"864,200",95,"395,400",93.6,"468,800",96.2
Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20,"12,300E",1.3E,"4,200E",1.0E,"8,100E",1.7E
Health of mouth - very good or excellent 21,"538,800",58.1,"248,200",57.2,"290,700",59
Health of mouth - fair or poor 21,"88,400",9.5,"42,300",9.7,"46,100",9.4
Able to brush teeth without help 22,"926,700",99,"436,500",99,"490,200",99
Home has adaptations 23,"274,100",29.7,"111,900",26,"162,200",33
Had a fall in the past 12 months 24,"146,600",15.7,"61,300",13.9,"85,300",17.2
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","131,500",14.1,"48,600",11,"82,900",16.7
Received community support services in the past 12 months 26,"57,300",6.1,"25,200E",5.7E,"32,100",6.5
Felt a lack of companionship - often 27,"54,400",6.3,"19,600E",5.0E,"34,700",7.4
Felt left out - often 28,"23,800E",2.8,"7,800E",2.0E,"16,000E",3.4E
Felt isolated from others - often 29,"49,500",5.8,"16,100E",4.1E,"33,400",7.1
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","295,000",34.2,"113,500",28.7,"181,400",38.8
Has valid driver's license 31,"784,900",83.9,"383,500",87,"401,400",81.1
