Indicator,Both Sexes,Both Percent,Male,Male Percent,Female,Female Percent
Health is perceived to be somewhat better or much better than 1 year ago 12,"18,700",10.6,"8,300E",10.0E,"10,400",11.1
Health is perceived to be somewhat worse or much worse than 1 year ago 12,"31,500",17.8,"15,600",18.6,"16,000",17
Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13,"64,500",38,"29,600",37.8,"34,900",38.1
Had the pneumococcal vaccine 14,"94,100",55.2,"40,800",51,"53,300",58.8
Had the shingles vaccine 15,"56,700",32.3,"24,600",29.8,"32,100",34.5
Influenza immunization in the past 12 months 16 17,"113,800",67,"48,800",62.3,"65,000",70.9
Used the Internet in the past 12 months 18,"131,400",74,"62,100",74.4,"69,300",73.7
Has trouble sleeping or staying asleep a little of the time or none of the time 19,"92,900",55,"46,300",59.4,"46,700",51.2
Has trouble sleeping or staying asleep most of the time or all of the time 19,"28,700",17,"10,700",13.8,"17,900",19.7
Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20,"166,000",95.4,"78,100",95,"87,900",95.7
Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20,"2,500E",1.4E,F,F,"1,300E",1.4E
Health of mouth - very good or excellent 21,"101,900",57.5,"46,900",56.2,"55,000",58.6
Health of mouth - fair or poor 21,"17,900",10.1,"10,300",12.3,"7,600E",8.1E
Able to brush teeth without help 22,"175,700",99,"82,400",98.7,"93,300",99.3
Home has adaptations 23,"65,700",37.1,"25,100",30.1,"40,500",43.3
Had a fall in the past 12 months 24,"30,600",17.2,"12,600",15.1,"18,000",19.1
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","26,600",15,"10,900",13,"15,700",16.7
Received community support services in the past 12 months 26,"13,500",7.6,"5,600E",6.7E,"7,900",8.4
Felt a lack of companionship - often 27,"10,400",6.1,"3,800E",4.9E,"6,600",7.2
Felt left out - often 28,"3,400E",2.0E,F,F,"2,200E",2.4E
Felt isolated from others - often 29,"11,200",6.6,"5,500E",7.1E,"5,700E",6.2E
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","50,600",29.9,"20,400",26.3,"30,200",32.9
Has valid driver's license 31,"154,800",87.2,"76,300",91.4,"78,500",83.5
