Indicator,Both Sexes,Both Percent,Male,Male Percent,Female,Female Percent
Health is perceived to be somewhat better or much better than 1 year ago 12,"21,500",10.8,"9,500E",10.2E,"12,100",11.3
Health is perceived to be somewhat worse or much worse than 1 year ago 12,"38,100",19,"15,300",16.5,"22,700",21.2
Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13,"69,400",38.1,"33,500",40,"35,900",36.5
Had the pneumococcal vaccine 14,"97,700",50.9,"42,100",47.1,"55,600",54.2
Had the shingles vaccine 15,"64,600",32.9,"30,400",33,"34,100",32.8
Influenza immunization in the past 12 months 16 17,"136,500",75,"62,700",74.8,"73,800",75.1
Used the Internet in the past 12 months 18,"144,800",72.4,"69,200",74.4,"75,600",70.6
Has trouble sleeping or staying asleep a little of the time or none of the time 19,"101,900",56,"53,000",63.3,"48,900",49.7
Has trouble sleeping or staying asleep most of the time or all of the time 19,"28,900",15.9,"11,000",13.1,"18,000",18.3
Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20,"183,800",92.3,"86,800",93.6,"97,000",91.1
Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20,"6,900E",3.4E,"1,500E",1.7E,"5,300E",5.0E
Health of mouth - very good or excellent 21,"127,400",63.8,"58,800",63.3,"68,600",64.1
Health of mouth - fair or poor 21,"17,900",9,"8,600E",9.2E,"9,300E",8.7E
Able to brush teeth without help 22,"195,500",97.7,"91,900",98.9,"103,600",96.7
Home has adaptations 23,"79,900",40,"33,600",36.2,"46,300",43.3
Had a fall in the past 12 months 24,"35,500",17.7,"16,400",17.6,"19,100",17.8
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","44,300",22.2,"15,500",16.7,"28,700",26.9
Received community support services in the past 12 months 26,"16,600",8.3,"5,300E",5.7E,"11,200",10.5
Felt a lack of companionship - often 27,"12,600",6.9,"2,900E",3.5E,"9,700E",9.9E
Felt left out - often 28,"4,000E",2.2E,F,F,"3,300E",3.3E
Felt isolated from others - often 29,"6,600E",3.6E,F,F,"5,100E",5.2E
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","50,600",27.8,"21,400",25.5,"29,200",29.7
Has valid driver's license 31,"174,300",87.1,"87,500",94.1,"86,900",81.1
