Indicator,Both Sexes,Both Percent,Male,Male Percent,Female,Female Percent
Health is perceived to be somewhat better or much better than 1 year ago 12,"9,400",8.3,"5,200",9.6,"4,200",7.1
Health is perceived to be somewhat worse or much worse than 1 year ago 12,"20,100",17.8,"8,500",15.6,"11,600",19.7
Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13,"37,400",36.3,"17,900",37.6,"19,600",35.2
Had the pneumococcal vaccine 14,"34,500",31.4,"15,300",29.6,"19,200",33
Had the shingles vaccine 15,"26,200",23.4,"12,700",23.7,"13,400",23.1
Influenza immunization in the past 12 months 16 17,"67,300",65.1,"30,600",64.3,"36,700",65.8
Used the Internet in the past 12 months 18,"79,500",70.3,"37,500",69.3,"42,000",71.2
Has trouble sleeping or staying asleep a little of the time or none of the time 19,"61,700",59.8,"32,200",67.7,"29,500",53.1
Has trouble sleeping or staying asleep most of the time or all of the time 19,"15,000",14.5,"4,900E",10.2E,"10,100",18.2
Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20,"104,600",93.5,"50,300",94.1,"54,300",93
Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20,"2,300E",2.1E,"1,300E",2.5E,"1,000E",1.7E
Health of mouth - very good or excellent 21,"70,500",62.3,"31,200",57.6,"39,300",66.7
Health of mouth - fair or poor 21,"10,800",9.5,"6,700",12.4,"4,100E",6.9E
Able to brush teeth without help 22,"111,300",98.5,"53,100",98.2,"58,200",98.8
Home has adaptations 23,"34,400",30.4,"15,200",28.1,"19,200",32.6
Had a fall in the past 12 months 24,"14,900",13.2,"6,500",12.1,"8,400",14.2
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","16,300",14.4,"6,300",11.7,"9,900",16.9
Received community support services in the past 12 months 26,"7,700",6.8,"1,800E",3.4E,"5,900",9.9
Felt a lack of companionship - often 27,"4,200E",4.1E,"1,400E",3.0E,"2,800E",5.1E
Felt left out - often 28,"2,000E",1.9E,F,F,"1,300E",2.4E
Felt isolated from others - often 29,"3,600E",3.5E,500E,1.1E,"3,000E",5.5E
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","24,800",24,"9,200",19.4,"15,500",27.8
Has valid driver's license 31,"94,600",83.7,"49,500",91.4,"45,100",76.5
